statement,statement_clean,speaker,subject,party_affiliation,context,label,y,baseline_pred,final_linear_pred,xgb_pred
Wisconsin is on pace to double the number of layoffs this year.,wisconsin is on pace to double the number of layoffs this year,OTHER,jobs,democrat,a news conference,false,0,1,1,1
"When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker nodded yes.",when asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws gov scott walker nodded yes,state-democratic-party-wisconsin,OTHER,democrat,a web video,pants-fire,0,0,1,0
"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture including food stamps,facebook-posts,OTHER,none,a meme on social media,false,0,1,1,1
Ronald Reagan faced an even worse recession than the current one.,ronald reagan faced an even worse recession than the current one,sarah-palin,OTHER,republican,OTHER,false,0,1,1,1
The number of illegal immigrants could be 3 million. It could be 30 million.,the number of illegal immigrants could be 3 million it could be 30 million,donald-trump,immigration,republican,OTHER,pants-fire,0,1,1,1
Says Charlie Crist is embroiled in a fraud case for steering taxpayer money to a de facto Ponzi scheme.,says charlie crist is embroiled in a fraud case for steering taxpayer money to a de facto ponzi scheme,republican-party-florida,OTHER,republican,a TV ad,false,0,0,1,1
Its been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee.,its been since 1888 that a senate of a different party than the president in the white house confirmed a supreme court nominee,OTHER,OTHER,republican,OTHER,false,0,1,1,1
"Under Rosemary Lehmberg, the Travis County D.A.s office convened the grand jury that indicted Rick Perry.",under rosemary lehmberg the travis county d a s office convened the grand jury that indicted rick perry,sarah-palin,"crime,criminal-justice",republican,OTHER,false,0,1,1,1
Says he won the second debate with Hillary Clinton in a landslide in every poll.,says he won the second debate with hillary clinton in a landslide in every poll,donald-trump,OTHER,republican,a tweet,pants-fire,0,1,1,1
"A proposed tax to fund transportation projects would spend $90,000 to take a single vehicle off the road during the morning and afternoon commute.",a proposed tax to fund transportation projects would spend 90 000 to take a single vehicle off the road during the morning and afternoon commute,OTHER,transportation,republican,OTHER,false,0,1,1,0
ACORN will be a paid partner with the Census Bureau and they will be in charge of going door-to-door and collecting data from the American public.,acorn will be a paid partner with the census bureau and they will be in charge of going door to door and collecting data from the american public,michele-bachmann,OTHER,republican,OTHER,pants-fire,0,1,1,0
Sixty percent of the Hispanics support the Arizona immigration law,sixty percent of the hispanics support the arizona immigration law,OTHER,immigration,republican,a CNN interview,pants-fire,0,1,1,0
I did not play any role in bringing the company to RI as did others in government. I was tasked with handling the legislation affecting the company by my superiors.,i did not play any role in bringing the company to ri as did others in government i was tasked with handling the legislation affecting the company by my superiors,OTHER,OTHER,democrat,a statement,false,0,1,1,1
The tax cut deal is giving $700 billion to millionaires and billionaires.,the tax cut deal is giving 700 billion to millionaires and billionaires,sherrod-brown,OTHER,democrat,a CNN interview,false,0,1,1,1
A strong bipartisan majority in the House of Representatives voted to defund Obamacare.,a strong bipartisan majority in the house of representatives voted to defund obamacare,ted-cruz,OTHER,republican,a news release,false,0,1,1,1
What the facts say is ...the best scenario for kids is a loving mom and dad.,what the facts say is the best scenario for kids is a loving mom and dad,reince-priebus,OTHER,republican,"comments on ""Meet the Press""",false,0,1,1,0
Says Mark Neumann = Nancy Pelosi,says mark neumann nancy pelosi,scott-walker,OTHER,republican,OTHER,false,0,1,1,1
On banning earmarks.,on banning earmarks,bill-nelson,federal-budget,democrat,OTHER,false,0,1,1,1
A judges order means theres a Constitution exemption zone if you live within 100 miles of the United States border.,a judges order means theres a constitution exemption zone if you live within 100 miles of the united states border,facebook-posts,OTHER,none,a Facebook post,false,0,1,1,1
"President Obama, Sen. Harry Reid and Rep. Nancy Pelosi passed a $1.2 trillion stimulus bill.",president obama sen harry reid and rep nancy pelosi passed a 1 2 trillion stimulus bill,george-allen,stimulus,republican,UNKNOWN,pants-fire,0,1,1,1
"Says Donald Trump said of women, And you can tell them to go f--- themselves.",says donald trump said of women and you can tell them to go f themselves,priorities-usa-action,OTHER,democrat,a television ad,pants-fire,0,1,1,1
"The Taliban has been there for years and years, I mean, hundreds of thousands of years.",the taliban has been there for years and years i mean hundreds of thousands of years,OTHER,OTHER,democrat,a debate,pants-fire,0,1,1,1
Iran President Hassan Rouhani has more Cabinet members with Ph.D.s from American universities than members of Barack Obamas Cabinet.,iran president hassan rouhani has more cabinet members with ph d s from american universities than members of barack obamas cabinet,OTHER,OTHER,journalist,OTHER,true,1,1,0,0
"(Barack Obama) says hes going to reduce the long-term debt and deficit by $4 trillion, doesnt say how hes going to do it.",barack obama says hes going to reduce the long term debt and deficit by 4 trillion doesnt say how hes going to do it,chris-christie,OTHER,republican,OTHER,pants-fire,0,1,1,1
Birth control pioneer Margaret Sanger wasan active participant in the Ku Klux Klan.,birth control pioneer margaret sanger wasan active participant in the ku klux klan,OTHER,abortion,republican,a Facebook post,false,0,0,1,1
U.S. Rep. Lloyd Doggett is the most liberal man in the United States Congress.,u s rep lloyd doggett is the most liberal man in the united states congress,OTHER,OTHER,republican,a speech,false,0,1,1,1
President Obama has the lowest public approval ratings of any president in modern times.,president obama has the lowest public approval ratings of any president in modern times,michele-bachmann,OTHER,republican,OTHER,pants-fire,0,1,1,1
On an income cap for recipients of the popular HOPE scholarship,on an income cap for recipients of the popular hope scholarship,jason-carter,education,democrat,OTHER,false,0,1,1,1
On running a civil and polite campaign.,on running a civil and polite campaign,OTHER,OTHER,democrat,a television interview,half-true,1,0,0,1
"John Holdren, director of the White House Office of Science and Technology Policy, has proposed forcing abortions and putting sterilants in the drinking water to control population.",john holdren director of the white house office of science and technology policy has proposed forcing abortions and putting sterilants in the drinking water to control population,glenn-beck,OTHER,none,OTHER,pants-fire,0,1,1,1
I can tell you that the enhanced interrogation techniques that have since been banned by this administration specifically waterboarding work.,i can tell you that the enhanced interrogation techniques that have since been banned by this administration specifically waterboarding work,OTHER,OTHER,republican,a newspaper interview,false,0,1,1,1
