statement,statement_clean,speaker,subject,party_affiliation,context,label,y,baseline_pred,final_linear_pred,xgb_pred
Says John McCain has done nothing to help the vets.,says john mccain has done nothing to help the vets,donald-trump,OTHER,republican,OTHER,false,0,1,0,0
Denali is the Kenyan word for black power.,denali is the kenyan word for black power,viral-image,environment,none,OTHER,pants-fire,0,1,0,0
Unfortunately we have documented instances where people defecated in the (Statehouse) building.,unfortunately we have documented instances where people defecated in the statehouse building,OTHER,"labor,state-budget",republican,OTHER,pants-fire,0,1,0,0
The number of illegal immigrants could be 3 million. It could be 30 million.,the number of illegal immigrants could be 3 million it could be 30 million,donald-trump,immigration,republican,OTHER,pants-fire,0,1,0,0
Says he won the second debate with Hillary Clinton in a landslide in every poll.,says he won the second debate with hillary clinton in a landslide in every poll,donald-trump,OTHER,republican,a tweet,pants-fire,0,1,1,0
When undocumented children are picked up at the border and told to appear later in court ... 90 percent do not then show up.,when undocumented children are picked up at the border and told to appear later in court 90 percent do not then show up,OTHER,OTHER,republican,OTHER,false,0,1,0,0
ACORN will be a paid partner with the Census Bureau and they will be in charge of going door-to-door and collecting data from the American public.,acorn will be a paid partner with the census bureau and they will be in charge of going door to door and collecting data from the american public,michele-bachmann,census,republican,OTHER,pants-fire,0,1,0,0
Sixty percent of the Hispanics support the Arizona immigration law,sixty percent of the hispanics support the arizona immigration law,OTHER,immigration,republican,a CNN interview,pants-fire,0,1,0,0
Rebuilding three high schools will benefit 40 percent of Portland Public School students.,rebuilding three high schools will benefit 40 percent of portland public school students,OTHER,education,none,OTHER,pants-fire,0,1,0,0
Says people in Africa literally walk two and three hundred miles in order to vote.,says people in africa literally walk two and three hundred miles in order to vote,OTHER,elections,republican,OTHER,pants-fire,0,1,0,0
Half of children struck by cars near schools are hit by parents driving children to school.,half of children struck by cars near schools are hit by parents driving children to school,OTHER,transportation,none,a mailer,false,0,1,0,0
Putting three Republicans in my Cabinet...is unprecedented.,putting three republicans in my cabinet is unprecedented,barack-obama,history,democrat,a news conference,true,1,0,0,1
"Says state Senate President Stephen Sweeney gave us the nations highest income tax rates, driving out jobs.",says state senate president stephen sweeney gave us the nations highest income tax rates driving out jobs,OTHER,OTHER,none,OTHER,false,0,1,0,0
Delaware Democratic Senate candidate Chris Coons thought that a 911 call should be taxed.,delaware democratic senate candidate chris coons thought that a 911 call should be taxed,OTHER,OTHER,republican,a campaign commercial,barely-true,1,0,1,1
President Obama has the lowest public approval ratings of any president in modern times.,president obama has the lowest public approval ratings of any president in modern times,michele-bachmann,OTHER,republican,OTHER,pants-fire,0,1,1,0
Many of the founding fathers were very actively involved in cockfighting.,many of the founding fathers were very actively involved in cockfighting,OTHER,OTHER,republican,a radio interview,false,0,1,0,0
Says state Sen. Sheila Harsdorf wants to eliminate Medicare as we know it.,says state sen sheila harsdorf wants to eliminate medicare as we know it,OTHER,OTHER,democrat,a campaign flier,pants-fire,0,1,0,0
Says Hillary Clinton has donated every cent shes ever earned from speaking fees to charity.,says hillary clinton has donated every cent shes ever earned from speaking fees to charity,occupy-democrats,candidates-biography,organization,a post on Facebook,false,0,1,1,0
"Says President Barack Obama told a room of students, Children, every time I clap my hands together, a child in America dies from gun violence, and then a child told him he could solve the problem by not clapping any more.",says president barack obama told a room of students children every time i clap my hands together a child in america dies from gun violence and then a child told him he could solve the problem by not clapping any more,chain-email,guns,none,a chain email,pants-fire,0,1,0,0
NASA scientists fudged the numbers to make 1998 the hottest year to overstate the extent of global warming.,nasa scientists fudged the numbers to make 1998 the hottest year to overstate the extent of global warming,OTHER,"climate-change,environment",journalist,OTHER,pants-fire,0,1,0,0
